Principle,Main Characteristics,Do's,Don'ts,Other Characteristics,Severity
Peripheral vision is used more than central vision,Peripheral vision identifies scene type and detects movement/danger faster; central vision is for detail. Users rely on it for initial assessment and visual anchors.,Ensure the periphery communicates site purpose; use high-quality thumbnails; place elements for 'glanceable' info in the periphery; use peripheral cues to draw attention to changes.,Don't place vital info where it can be overlooked due to banner blindness; don't use heavy peripheral animation that distracts from the primary task; don't assume users only see the center focus.,"Psychological Category: How People See; Platforms: Desktop, Mobile, Web, Digital Interfaces.",High - Fundamental biological constraint for survival and situational awareness.
The Limbic System drives decision making,Decisions are controlled by the part of the brain that does not control language; it is based on 'feeling' and the 'Why'.,Communicate the purpose/benefit ('Why') before the features ('What').,"Don't rely solely on facts, figures, and technical features to persuade users.",How People Think,High - Fundamental biological constraint.
The human body is built on the proportions of the Golden Section.,"Ancient and modern architectural canons are linked to human measures (ell, thumb, foot).",Use scale and proportion derived from human body ratios (Modulor) to design spaces.,Ignore human eye level (avg. 170 cm) when placing visual information.,How People See; Human Biological Constraints,High - Fundamental biological basis for harmony.
Medium type width is the easiest type to read.,Optimal balance between character width and spacing (condensed vs. expanded).,Choose medium-width typefaces for primary text body.,Use extra-condensed or extra-expanded type for long reading passages.,How People See; Typography,High - Fundamental biological constraint of the eye.
Single Responsibility Principle (SOLID),"A class should have just one reason to change, meaning it should be responsible for a single part of the functionality.",Make every class responsible for a single part of functionality; encapsulate that responsibility entirely.,"Allow a class to perform multiple unrelated tasks (e.g., managing data and printing reports).",SOLID Principles; Complexity Reduction.,Critical - Prevents brain stack overflow and losing control over growing codebases.
Liskov Substitution Principle (SOLID),Subclasses should be passable in place of parent classes without breaking the client code.,Keep parameter types match or be more abstract than superclass; keep return types match or be more specific; preserve invariants.,Strengthen pre-conditions in subclasses; weaken post-conditions; throw unexpected exceptions not defined by the base method.,SOLID Principles; Behavioral Compatibility.,Critical - Fundamental constraint for library/framework development and polymorphism.
Principle 1: Satisfy the customer through early and continuous delivery of valuable software,Focuses on frequent updates and versioning to meet changing customer needs and keep up with competition.,Prioritize features based on market demand and include the UX team early in the process.,Haphazardly put together features or ignore design quality in the rush to deliver.,How People See (UX lens); All platforms including apps and websites.,Critical
Principle 7: Working software is the primary measure of progress,"Prioritizes the creation of actual product over graphs, metrics, or supporting artifacts.",Judge UX progress based on designs successfully implemented in the shipping software.,Focus exclusively on artifacts like specifications that may never be built.,How People See (UX lens); Production environment.,Critical
Principle 9: Continuous attention to technical excellence and good design,Agility is enhanced by refining technology and user experience throughout the cycle.,Treat design as a living thing that is constantly revised based on feedback.,Treat a specification as a finished document that cannot be revisited.,How People See (UX lens); Design paradigm context.,Critical
Principle 12: Regular reflection on effectiveness,The team tunes and adjusts its behavior at regular intervals to become more effective.,Hold productive retrospective meetings where feedback is heard and acted upon.,Shut down conversation or ignore team feedback during reflection sessions.,How People Decide (UX lens); Team improvement context.,Critical
Not all elements are equal,Visual hierarchy is the most effective tool for making a design look 'designed'.,De-emphasize secondary and tertiary information to highlight what matters.,"Don't let every element compete for attention, creating a 'wall of content'.",Hierarchy is Everything; UI layout.,Critical
People see cues that tell them what to do with an object,"Affordances are perceived action possibilities (e.g., a button's shadow suggests pushing).",Use shading and shadows to show when an object is clickable or active.,Use hover cues for touch-only devices like the iPad.,How People See; UI Design/Physical objects.,Critical
A Button Should Look Like a Button,Interactive elements must be visually distinct and follow familiar forms to be recognized as actionable.,Use rectangles or rounded rectangles; ensure the button stands out from the background.,Use organic or irregular shapes that dissolve the function; remove too many visual cues so it looks like plain text.,UI Design; How People See; Interaction Design.,Critical - Biological/Cognitive constraint for quick identification and usage.
There's a special part of the brain just for recognizing faces,The fusiform face area (FFA) processes faces faster than objects and is linked to the emotional center.,Use up-close faces looking at the camera for emotional impact; use faces looking at products to direct attention.,Assume autistic users process faces using the FFA.,How People See; Biological/Neurological.,Critical
Proper Product Data is Vital to E-Commerce Usability,Lack of structured or consistent data severely impedes product finding and comparison.,Develop automated and manual verification processes; harmonize supplier specs; ensure naming and unit consistency.,Don't use unstructured blobs of text; don't direct-import vendor spec sheets without post-processing.,Product Data Structure; E-commerce platforms.,Harmful
Allow Users to Combine Multiple Filter Values of the Same Filter Type,Mutually exclusive filters force users to repeat the filtering flow multiple times.,Allow 'OR' logic for values within a type; use checkboxes to indicate combinability.,Don't refresh the page and clear old selections when a new value is clicked; don't make color/size options exclusive.,How People Decide; Filtering logic.,Harmful
