"principle","characteristics","dos","donts","category","severity"
"Humanist Sans","Warm, approachable, classically-proportioned sans with calligraphic DNA. Serves: healthcare, wellness, government, civic, education. Keywords: humanist, warm sans, approachable, legible.","Ranked candidates: 1. Optima (macOS-system) flared classical warmth; 2. Avenir / Avenir Next (macOS-system) geometric-humanist hybrid; 3. Source Sans 3 (Google Fonts, OFL) neutral UI workhorse; 4. Work Sans (Google Fonts, OFL) screen-tuned; 5. Frutiger (commercial, Monotype) signage-grade standard; 6. Gill Sans (commercial Monotype; bundled on some macOS installs). Pairs with old-style serifs (shared warm low-contrast DNA).","Don't pair with another humanist sans (too-similar clash); don't use the quirkier cuts (Gill Sans) for dense data UI.","Type; Sans","Medium"
"Geometric Sans","Circular bowls, compass-drawn confidence, modernist geometry. Serves: fintech, trust, futuristic tech brand, sustainability, modern branding. Keywords: geometric, Bauhaus, circular, modern sans.","Ranked candidates: 1. Futura (macOS-system) Bauhaus benchmark; 2. Poppins (Google Fonts, OFL) rounded-geometric, high adoption; 3. DM Sans (Google Fonts, OFL) low-contrast, small-size tuned; 4. Cabinet Grotesk (Fontshare, free ITF) contemporary with personality; 5. Sohne (commercial, Klim) the neutral-geometric fintech/SaaS standard. Pairs with Didone display for drama-plus-simplicity.","Don't set long body copy in pure geometrics at small sizes (closed apertures fatigue); don't stack with a second geometric display face.","Type; Sans","Medium"
"Neo-Grotesque Sans","Neutral, screen-proven, opinion-free workhorses. Serves: developer tools, saas, fintech, editorial UI, product interfaces. Keywords: grotesque, neutral, Helvetica class, UI font, interface.","Ranked candidates: 1. Helvetica Neue (macOS-system) canonical neutral; 2. SF Pro (macOS-system) Apple UI default; 3. Inter (Google Fonts, OFL) de facto open UI standard, tall x-height; 4. IBM Plex Sans (Google Fonts, OFL) corporate with wide language coverage; 5. Neue Haas Grotesk (commercial, Commercial Type) restored Helvetica ancestor; 6. GT America (commercial, Grilli Type) grotesque-gothic bridge. Pairs with almost anything quieter or louder — the reliable quiet face.","Don't expect personality from this class — if the brand needs character, it comes from the display face or elsewhere; don't mix two neutral grotesques in one product.","Type; Sans","Medium"
"Rounded Sans","Softened terminals signal friendliness and safety. Serves: kids, education, wellness, casual gaming, family products. Keywords: rounded, soft, friendly, playful sans.","Ranked candidates: 1. SF Pro Rounded (macOS-system; app-request only, not in Font Book — verify before specifying) Apple rounded variant; 2. Nunito (Google Fonts, OFL) friendly dual-use; 3. Baloo 2 (Google Fonts, OFL) heavy rounded for kids; 4. Quicksand (Google Fonts, OFL) light geometric-rounded; 5. Comfortaa (Google Fonts, OFL) logotype-friendly; 6. Gotham Rounded (commercial, Hoefler&Co) corporate-rounded benchmark.","Don't use rounded faces for trust-critical or luxury registers (reads casual); check lowercase legibility at small sizes — extreme rounding hurts letter distinction.","Type; Sans","Medium"
"Condensed Display Sans","Tall, tight, high-impact caps — athletic and urgent. Serves: gaming, esports, team fan pages, editorial headlines, posters. Keywords: condensed, athletic, jersey, impact, display sans.","Ranked candidates: 1. Helvetica Neue Condensed cuts (macOS-system) utility condensed; 2. Bebas Neue (Google Fonts, OFL) the free jersey/wordmark standard; 3. Anton (Google Fonts, OFL) bold advertising impact; 4. Barlow Condensed (Google Fonts, OFL) full weight range; 5. Oswald (Google Fonts, OFL) editorial-sport crossover; 6. Druk (commercial, Commercial Type) the impact-condensed category definer.","Display only — never body text; keep tracking generous at small sizes or counters close up; needs strong contrast on overlays (esports/dark grounds).","Type; Display","Medium"
"Old-Style Serif (Garalde)","Calligraphic stress, warm and bookish — the tradition signal. Serves: heritage, artisanal food, craft, luxury, publishing. Keywords: old-style, garalde, traditional serif, bookish, heritage serif.","Ranked candidates: 1. Palatino (macOS-system) generous calligraphic old-style; 2. Iowan Old Style (macOS-system) sturdy screen-friendly; 3. Charter (macOS-system) robust workhorse; 4. Fraunces (Google Fonts, OFL) soft display with variable wonk; 5. Newsreader (Google Fonts, OFL) long-form reading with optical sizes; 6. Young Serif (Google Fonts, OFL) heavy display. Pairs with humanist sans (shared warm DNA).","Don't use heavy display cuts (Young Serif, Fraunces black) for body; don't fake small-caps or optical sizes — use fonts that provide them.","Type; Serif","Medium"
"Transitional Serif","Upright authority between old-style warmth and Didone drama. Serves: editorial, news, government, civic, legal, luxury body text. Keywords: transitional, authority serif, editorial serif, readable serif.","Ranked candidates: 1. Georgia (macOS-system) screen-optimized, generous x-height; 2. Baskerville (macOS-system) refined and literary; 3. Hoefler Text (macOS-system) fine book typography; 4. Times New Roman (macOS-system) universal workhorse; 5. Source Serif 4 (Google Fonts, OFL) modern pairing companion; 6. Lora (Google Fonts, OFL) popular editorial; 7. Tiempos (commercial, Klim) contemporary editorial standard. Pairs with geometric sans for clean thick/thin contrast.","Times New Roman carries a default/unstyled connotation in digital contexts — choose it deliberately, not by omission; don't push transitional serifs into tiny UI labels.","Type; Serif","Medium"
"Didone High-Contrast Serif","Extreme thick/thin contrast, hairline serifs — drama and prestige. Serves: luxury, fashion, editorial mastheads, premium brand display. Keywords: didone, Bodoni, Didot, fashion serif, high contrast, luxury serif.","Ranked candidates: 1. Didot (macOS-system) class-defining; 2. Bodoni 72 (macOS-system) bundled Bodoni cut; 3. Playfair Display (Google Fonts, OFL) most-used free Didone; 4. Instrument Serif (Google Fonts, OFL) contemporary condensed display take; 5. Canela (commercial, Colophon) warm-Didone luxury standard. Pairs with geometric or humanist sans body (drama + simplicity).","Display sizes only — hairlines disintegrate below ~20px and fail contrast on screens; never body text; avoid on low-res or dark-mode-heavy products without testing hairline rendering.","Type; Serif","Medium"
"Slab Serif","Heavy rectangular serifs — sturdy, grounded, industrial-honest. Serves: developer tools, sustainability, civic, editorial features, sturdy branding. Keywords: slab, mechane, typewriter serif, sturdy serif.","Ranked candidates: 1. Rockwell (macOS-system) geometric slab benchmark; 2. American Typewriter (macOS-system) typewriter-slab hybrid; 3. Roboto Slab (Google Fonts, OFL) huge adoption, UI-safe; 4. Zilla Slab (Google Fonts, OFL) humanist-leaning; 5. Arvo (Google Fonts, OFL) clean geometric slab; 6. Sentinel (commercial, Hoefler&Co) refined editorial slab.","Heavy slabs overwhelm at body sizes — use text-tuned cuts for paragraphs; typewriter flavors (American Typewriter) read retro, not neutral.","Type; Serif","Medium"
"Script and Calligraphic","Formal pointed-pen and brush scripts — the bespoke, handmade signal. Serves: luxury, craft, calligraphy, weddings, heritage food, premium packaging. Keywords: script, calligraphy, cursive, formal script, brush.","Ranked candidates: 1. Snell Roundhand (macOS-system) formal pointed-pen; 2. Zapfino (macOS-system) elaborate calligraphic display; 3. Great Vibes (Google Fonts, OFL) free formal script; 4. Dancing Script (Google Fonts, OFL) lively casual-formal; 5. Pacifico (Google Fonts, OFL) retro brush; 6. Bickham Script (commercial, Adobe/Monotype) luxury formal benchmark.","Never set more than a few words in script (accents, lockups, names — not sentences); never all-caps a script font; verify swash collisions in tight layouts; body-text use is a hard no.","Type; Script","Low"
