Principle,Main Characteristics,Do's,Don'ts,Platforms/Classification,Severity
Gradual Engagement,Allowing users to feel benefits before asking for investment or personal data.,Let users engage with core features or browse products before asking them to sign up or log in.,Don't present registration/sign-in as a roadblock at the start of the experience.,Web and Mobile UIs,Critical - High impact on user acquisition and initial conversion.
Simple and Intuitive Use,"Use of the design is easy to understand, regardless of experience, knowledge, or language skills.",Eliminate unnecessary complexity; be consistent with user expectations and intuition.,Not in source,Universal Design Principle 3,Critical - Directly affects user abandonment and conversion rates.
Perceptible Information,The design communicates necessary information effectively to the user regardless of conditions.,"Use different modes (pictorial, verbal, tactile) for redundant presentation of essential information.",Not in source,Universal Design Principle 4,Critical - Essential for navigating the purchase funnel.
Early and Continuous Delivery,Highest priority is satisfying the customer through early delivery of valuable software.,Release updates frequently to meet changing customer needs.,Do not prioritize internal feature lists over actual customer satisfaction.,Agile Principle 1,Critical - Direct impact on customer satisfaction and revenue.
Technical Excellence and Good Design,Continuous attention to good design enhances agility.,Continuously refine the design throughout the cycle based on feedback.,Do not settle on a design specification and refuse to revisit it during implementation.,Agile Principle 9,Critical - Good design is essential for market success and usability.
Regular Reflection (Retrospectives),Team reflects on how to become more effective and adjusts behavior.,Identify areas where design-dev communication failed and propose specific fixes.,Do not skip retrospectives or ignore team feedback regarding the design process.,Agile Principle 12,Critical - Necessary for the survival and improvement of the Agile process.
Visual Identification of Action,The visual design of a button should clearly indicate its interactivity to avoid confusion with non-actionable elements.,Make the button stand out; use familiar shapes like rectangles or rounded rectangles.,Do not remove so many elements that the function dissolves; do not use organic or irregular shapes that take longer to identify.,Ecommerce / Universal UI,Critical (Impacts conversion)
Adequate Touch/Click Area,Interactive elements must be large enough to be easily activated by fingers or cursors.,Start with a minimum of  $44 \times 44$  points for mobile; target 50 points for mobile buttons; use  $32 \times 32$  for cursor-based devices.,"Do not design buttons that are too small, which leads to user frustration and app uninstalls.",Mobile / Web / Ecommerce,Critical (Task completion)
Minimize Transitional Volatility,The degree of reorientation a person experiences when moving between pages/touchpoints.,Ensure consistency across touchpoints so users don't have to bridge gaps in the offering themselves.,Don't force people to reorient constantly; high volatility leads to users feeling lost in 'hyperspace'.,Ecommerce Navigation / UX,Critical
Graceful Error Handling,Comforting screens that occur when things go wrong without destroying user data.,"Keep all user input safe; provide a clear path to resolution and use human, positive language.",Do not use 'Blue Screen of Death' style jargon; never delete user work due to a form error.,Error Prevention / Conversion,Critical
Thumb Zone Optimization,Placing primary controls within the natural sweeping arc of a user's thumb.,Place primary actions and navigation near the bottom of the screen for large mobile devices.,Avoid placing critical navigation (like 'Back' or 'Purchase') in the top-left 'Ow' zone.,Mobile Ergonomics,Critical
Proper Product Data is Vital to E-Commerce Usability,"Consistency in structured data, accurate product tags, and complete product information.",Develop automated and manual verification processes; harmonize product data from different suppliers; scan for missing thumbnails; printed site-hierarchy trees.,Store product specs as unstructured blobs of text; rely solely on machine-generated categories; use vendor-supplied naming inconsistencies without post-processing.,List Layout / Category & Search,Harmful
Which Attributes to Include in the List Item,Providing enough info to decide whether to skip or explore a product.,"Include price, thumbnail, title/type, variations, and user ratings; add 1-3 category-specific attributes (e.g., dimensions for bags).",Overload the list item with too much information; use a 'one size fits all' attribute set for all categories.,List Items / Information scent,Harmful
Product Variations as One or Multiple List Items,"Strategy for displaying color, size, or material versions of a single product.","Combine variations into a single list item for minor or non-visual differences; display separate list items for meaningful visual differences (patterns, textures).",Clutter the list by showing every size or format as a separate item; fail to link variations in the database.,List Items,Harmful
Include Product Attributes Consistently Across List Items,Ensuring comparability between items in the same list.,"Explicitly state when an attribute is unavailable rather than hiding it; harmonize measurements (e.g., all in cm).","Show specs only for some products; use inconsistent labeling (e.g., 'Height' vs. 'Depth') for similar products.",List Items,Harmful
Product Specifications Should Be Separate Entities,Structuring information for scannability.,Distinguish product type from name using font weights or colors; use bullet points for key features.,"Mix brand, type, and specs into a single unstructured text blob in the title.",List Items / User Interface,Harmful
Clearly Indicate Product Unavailability,Preventing detours to products that cannot be shipped or bought.,"Use high-contrast badges (e.g., 'Sold Out'); state when the item will be back in stock; mention pre-order options.","Use small, easily overlooked text labels; hide unavailability until the user reaches the product page.",List Items / User Interface,Harmful
Always Have Thumbnails for All List Items,Visual anchors for product assessment.,Ensure every single list item has an image; prioritize image quality.,Show a 'No image available' placeholder; expect users to click items without a preview.,List Items / Product Thumbnails,Harmful
Avoid 'Quick Views',Removing intermediary steps that confuse site hierarchy.,Invest in better list item design and larger thumbnails instead; make the Quick View a gallery if it must exist.,Place the Quick View button in the middle of the thumbnail where it causes accidental clicks; make the Quick View look exactly like a product page.,List Items / Hover & Hit Areas,Harmful
Avoid Implementing Filter Attributes as Category Scopes,Distinction between hierarchy (mutually exclusive) and filters (combinable).,Implement attributes like 'material' or 'season' as filters; use categories only for distinct product types with unique spec sets.,Force users into silos like 'Mummy Shape Sleeping Bags' vs 'Square Shape' categories.,Filtering / Scope & Logic,Harmful
Allow Users to Combine Multiple Filter Values of the Same Filter Type,Multi-select capabilities within groups like color or brand.,Use 'OR' logic for values within a type; use checkboxes to signal that multiple items can be selected.,Reload the page and clear selections when a second value in the same group is clicked.,Filtering / Scope & Logic,Harmful
Diversity-Based 'Relevance' Should Be the Default Sort Type,Ensuring the first page represents the full breadth of a category.,"Show 1-2 products of each major sub-type in the first 20 results; use a matrix of sales, ratings, and views.",Sort by price by default; allow a single popular sub-brand to dominate the entire first page of results.,Sorting,Harmful
