"principle","characteristics","dos","donts","category","severity"
"Swiss / International Typographic Style","Modernist rationalism: mathematical modular grid, asymmetric layout, objective tone. Flat color, sans-serif only, photography over illustration. Direct precursor to flat design.","Build on a strict modular grid (quadrant or column); set text flush-left ragged-right; use one sans-serif family (Helvetica/Akzidenz lineage) in few weights; crop photography to fill grid modules by 30-40%; keep palette minimal and flat.","No drop shadows, no gradients, no decorative type, no ornament. Avoid for playful or emotional brands — pure rationalism reads cold in consumer-warmth contexts.","Style; Flat rationalism","Medium"
"Glassmorphism / Aero Translucency","Frosted-glass panels create openness and spatial depth without losing background context. Lineage: Vista Aero to Apple Liquid Glass.","Use translucent fills (~12% white) with backdrop blur 8-20px plus saturation boost; add a 1px white ~25% border to sell the glass edge; radius ~16px; soft wide shadow (0 8px 32px rgba(0,0,0,0.25)); place only over busy or colorful backgrounds.","Don't use blur below 10px (reads as a rendering bug); don't place glass over flat plain backgrounds; don't skip contrast testing — text on glass must pass WCAG against the busiest expected background; avoid on data-dense UI and low-power devices (GPU cost).","Style; Depth and translucency","Medium"
"Neubrutalism","Visual rebellion against sterile templates: raw borders, hard shadows, loud accents, oversized type. Performance-friendly and focus-state clear when done right.","Use 2-4px solid black borders; hard offset shadows with zero blur scaled to component size (3px badges, 5px cards, 8px overlays, 12px dialogs; format Xpx Xpx 0 0 #000); square corners; 1-3 saturated pop accents over black plus off-white base; oversized display type (personality) with plain body type; hover grows the shadow, press collapses it.","Don't add blur or gradients; don't rely on color alone for states (WCAG 1.4.1); don't assume thick borders enlarge touch targets — verify hit areas; avoid for banking, healthcare, government, and dense dashboards. Body text contrast still >= 4.5:1.","Style; Raw and bold","Medium"
"Corporate Memphis (Alegria)","Flat geometric vector figures: tiny heads, elongated limbs (>= 1.5x torso), non-representational skin tones, no facial detail, no shadows or gradients. SVG-friendly and cheap to template.","Use only if a deliberately generic, globally neutral illustration language is required and the brand carries no trust-critical stakes; build characters from primitives; keep it resolution-independent SVG. Card chrome: flat white or single-pastel surface, no shadows or gradients, radius 8-12px.","By 2025-2026 this style reads dated and generic-corporate; critics associate it with 'toxic positivity' masking real product friction. Flag it in design reviews rather than recommending it; never use for brands positioning on trust, craft, or seriousness.","Style; Flat illustration","Medium"
"Frutiger Aero","Techno-utopian optimism: cool blues and greens, glossy translucency, nature motifs (bubbles, water, leaves, clouds) fused with digital sheen. Gen-Z nostalgia revival is current.","Create depth with glossy specular highlights and reflective 'wet' sheen rather than drop shadows; use translucent panes; pair vibrant blue-green palettes with white; simplified nature iconography for freshness and optimism. Card chrome: glossy translucent panel (white 20-35% alpha) over a sky-blue/green gradient, radius 12-16px, thin light border, top-edge specular highlight.","Don't fake the style with fuzzy drop shadows — its depth language is gloss and translucency; avoid for serious enterprise and data tools where gloss undermines credibility and costs rendering performance.","Style; Depth and translucency","Medium"
"Skeuomorphism (restrained modern)","Digital surfaces that feel tangible via material cues — warm material tones, subtle grain, dimensional lighting — without 2010-era literal leather-and-felt metaphors.","Use warm material tones (never pure #fff/#000); subtle noise texture at 0.04-0.06 opacity; layered shadow stack implying a single top light source; letterpress/inset text for engraved labels; strongest in AR/VR, smart-home controls, and onboarding for non-technical users. Card chrome: warm material surface, radius 8-12px, layered soft shadow implying one top light source, 1px slightly-darker border.","Don't push noise above ~0.1 opacity (reads as dirt); don't mix light-source directions across components; avoid on dense dashboards where texture competes with data.","Style; Depth and materiality","Medium"
"Neumorphism (Soft UI)","Extruded-from-the-surface look: element fill equals page background, dual light+dark shadows imply molded hardware. Peaked 2020; near-zero production use today.","If used at all: resting state -8px -8px 16px light plus 8px 8px 16px dark, pressed state same values inset; radius 12-20px; dark mode uses tinted highlight/shade never pure white/black; push text to 7:1, add accent borders to interactive elements, explicit focus-visible rings.","Canonical recipe fails accessibility by the numbers: edge contrast ~1.4:1 versus the 3:1 WCAG non-text minimum, and interactive surfaces are indistinguishable from static ones. Never use for accessibility-critical, trust-critical, or data-dense products; treat as novelty-widget territory only.","Style; Depth and materiality","High"
"Techno-Organic Harmony","Synthetic efficiency juxtaposed with natural elements — water, greenery, organic curves against digital motifs — for an approachable, dreamlike tech environment.","Integrate nature imagery or organic forms with digital UI motifs; use high-saturation blue-green palettes or pastel aqua with soft shadows for a breezy quality; let organic shapes soften geometric layouts.","Don't let decoration bury function — organic elements frame content, not replace hierarchy; avoid when the brand voice is precision/instrument rather than warmth.","Style; Nature-tech fusion","Low"
"Bento Grid Modularity","Asymmetric grid of rounded modules (bento-box metaphor) organizing mixed content sizes into one composed view. Current mainstream (Apple, Linear, 2026 SaaS landing pages).","Use CSS Grid with deliberate module-size variation; gutters 16-24px; radius 16-32px; cap hero tiles at 2 per screen; give each module one clear content job; let cell size encode importance. Card chrome per module: filled surface with subtle contrast against the page background, radius 16-24px, hairline or no shadow.","Don't fill a bento with equal-size cells (defeats the hierarchy purpose); don't exceed 2 hero tiles; don't force unrelated content into one module to fill space.","Style; Grid and layout","Medium"
"Brutalist Typography Revival","Oversized neo-grotesque or geometric display type as the primary interface architecture — type is the layout. Reaction against homogenized minimal SaaS aesthetics.","Let one oversized display face (e.g. Syne, Space Grotesk class) carry the visual identity; keep body text deliberately plain; combine with raw borders and flat blocks; suits portfolios, editorial, indie brands.","Don't pair two loud display faces; don't apply to banking/healthcare/regulated domains; oversized type still needs a responsive minimum — test wrapping at small breakpoints.","Style; Typographic","Low"
"Atmospheric Glow and Aura Gradients","Ambient light as atmosphere: smoky, grainy, multi-hue aurora gradients and soft glow used as lighting, not decoration. Part of the calm-interface pushback against overstimulation.","Use soft multi-hue gradients as background lighting with visible grain to avoid banding; pastel blue/green glow for cozy night-light moods, paired with bokeh or soft shadows; keep foreground UI crisp against the atmospheric layer.","Don't stack neon or oversaturated glows (generative-AI tell); don't let gradient atmosphere reduce text contrast below WCAG; don't use gradient-tinted text for body copy.","Style; Light and atmosphere","Low"
"Meaning Equation (Form + Content + Context)","An image means something only when form (how it is made), content (what is shown), and context (where and next to what it appears) are designed together.","When constructing or selecting imagery, articulate all three: the formal treatment, the subject, and the placement context; reject imagery where any one is arbitrary; use the equation as the acceptance test for hero images and campaign photography.","Don't select images on form alone (pretty but meaningless) or content alone (correct but flat); don't ignore context — the same photo reads differently beside different neighbors.","Photography; Art direction","High"
"Chiaroscuro / Dramatic Depth","High-contrast single-source lighting compresses space, emphasizes tactile texture, and creates narrative tension by pulling the eye to a localized focal area.","Use a single directional key light at ~45 degrees with deep shadow falloff; minimize fill light; let pitch-black negative space frame the subject; emphasize localized texture.","Don't add fill that flattens the drama; don't use for products needing an open, airy, trustworthy feel; watch that shadow detail survives compression on dark-mode displays.","Photography; Lighting","Medium"
"High-Key Background Separation","Subject isolation via lighting ratio: background lit separately and brighter than the key light eliminates background shadows entirely.","Light the background independently, about 2 stops brighter than the key (4:1 illuminance); use multiple strobes with V-flats; ideal for clean e-commerce and product photography.","Don't rely on post-processing cutouts to fake it — edge light contamination shows; don't blow highlights past recoverable range.","Photography; Lighting","Medium"
"The Decisive Moment","Meaning is defined by the exact instant of capture — the frame where gesture, event, and composition align (Cartier-Bresson). Applies to photo selection and to timing screenshots of product moments.","Choose or capture frames at the peak instant (mid-air, mid-gesture, the moment of alignment); account for shutter/device latency; in product imagery, show the moment of value delivery, not the aftermath.","Don't settle for the frame just before or after the peak; don't stage stiff poses when the story is motion.","Photography; Composition and timing","Medium"
"The Gaze and Active Participation","Whose gaze the viewer follows dictates the power structure of a portrait; subjects reading as active agents (not passive specimens) carry dignity and story.","Identify whose gaze the composition privileges; direct eye-line and posture to signal agency; let subjects participate in shaping the visual story; treat concept and aesthetics as inseparable.","Don't compose portraits where the subject is a passive object of observation unless that power reading is intentional; don't crop in ways that strip agency.","Photography; Portraiture","Medium"
"Contextual Environmental Framing","Placing a subject within their territory — workplace, landscape, community — anchors identity and tells a larger story than an isolated portrait.","Capture subjects within environments that represent their bonds and identity; use wide depth of field so the territory stays sharp while the subject remains central.","Don't default to seamless-backdrop isolation when identity and place are the story; don't blur context into abstraction if it carries meaning.","Photography; Portraiture","Medium"
"Perspective Scale Shifting","A small subject against a vast environment makes the environment the true subject and rewards closer viewing — scale contrast as narrative.","Use a small figure or object as the reference point that reveals the scale of the surrounding scene; compose so the image reads first as landscape, then as story on inspection.","Don't center-blow-up the subject when the scale relationship is the point; don't clutter the frame so scale contrast is lost.","Photography; Composition and timing","Low"
"Sequencing Logic (images speak to each other)","Adjacent images create meaning through proximity and order — a person fishing next to a fish stall reads as cause and effect. Image sequences are edited narratives.","Sequence and place imagery deliberately: pairs and runs should build cause-effect or thematic rhythm; in layouts, treat neighboring images as one composition; storyboard galleries before filling them.","Don't shuffle imagery as interchangeable decoration; don't place images adjacently whose accidental juxtaposition creates unintended readings.","Photography; Art direction","Medium"
"Meditative Abstraction / Long Exposure","Ultra-slow shutter speeds simplify moving subjects into pure tonality — silky water, silk-like forms, low-saturation calm. Abstraction through time.","Use >= 10s exposures with ND filters to render motion as smooth tonal fields; favor low-saturation pastel palettes; use for landscape and mood imagery where serenity is the message.","Don't mix frozen-action subjects into a meditative long-exposure set; don't oversaturate — the register is calm.","Photography; Lighting","Low"
"Structural Coloration","Color defines the structure and atmosphere of a world — signifying internal states, social meaning, and coherence — rather than decorating it.","Build imagery palettes that construct the world: mist, artificial light, and architectural lines as coherent atmosphere; use color to signal internal states or social message; keep one photographic tension per palette.","Don't apply color grading as arbitrary decoration; don't mix atmosphere palettes within one narrative sequence without a reason.","Photography; Art direction","Medium"
"Geometric Character Abstraction","Characters built from basic primitives (circles, rectangles, rounded torsos, dot eyes, single-curve mouths) remove individual identity to foreground collective, universal interaction.","Use primitive-based construction with rounded corners for softness; minimal facial mapping (two dots, one curve); suits diagrams, empty states, and community-level storytelling where any-person universality helps.","Don't use faceless abstraction where individual identity, diversity, or emotional nuance is the message; see Corporate Memphis caveats before adopting wholesale.","Illustration; Character","Low"
"Interaction-as-Interface Display","Showing the actual product interface in marketing imagery communicates function better than abstract metaphor illustration.","Replace abstract metaphors with grounded imagery of the product in action: real screenshots, real components as graphic elements, real use cases; keep shown UI current with the shipped product.","Don't fabricate fake product screenshots from styled divs and present them as real; don't let marketing UI drift from the actual product (trust damage on arrival).","Illustration; Product imagery","High"
"Interaction Choreography and Sequence","UX as staged choreography: interactions are a planned sequence of movements that reveal position in a digital space and build narrative meaning — a dance between user and interface.","Arrange interaction steps in a deliberate sequence toward task completion; define keyframe intervals and movement paths; use proximity so single steps read as part of a group; storyboard multi-step motion before building.","Don't animate steps in isolation without a sequence logic; don't choreograph decoration that hides where the user is in the flow.","Motion; Narrative","Medium"
"Scroll-Driven Narrative","Scrollytelling: pinning and scrubbing elements synchronized to scroll position turns a page into a paced, chaptered story.","Pin key scenes and scrub their animation to scroll progress; chapter the narrative so each pinned section makes one point; keep scrub animations on composited properties for smoothness; provide a reduced-motion path that preserves content order.","Don't hijack scroll speed or reverse scroll direction; don't pin so long that users feel trapped; don't gate core content behind scroll theatrics.","Motion; Narrative","Medium"
"Fluid Organic Motion","Fluid, organic movement — buoyant forms, water-like response to input — reduces perceived coldness of technology and suits nature-tech and wellness aesthetics.","Use ease-in-out curves that mimic buoyancy; let decorative forms (bubbles, blobs, gradients) respond subtly to pointer or scroll input; pair with techno-organic or atmospheric styles.","Don't apply fluid physics to functional UI elements where responsiveness must feel instant; keep particle/mesh effects within the performance budget and honor prefers-reduced-motion.","Motion; Character","Low"
"Claymorphism","Soft 3D clay look: big radii, dual inner shadows plus tinted outer shadow, pastel matte surfaces. Coined 2021 (Malewicz) as the accessible fix for neumorphism; by 2026 niche-settled, not novel.","Use border-radius 20-40px; triple shadow stack (large soft outer drop tinted to surface hue, inset bottom-right shade, inset top-left highlight); pastel palette (lavender, mint, peach, baby blue) with matte finish; strongest for onboarding flows, kids' apps, friendly-face fintech, 3D landing pages.","Avoid for developer tools, luxury, government, and editorial/news; re-check contrast per instance — pastel-on-pastel with soft shadows can still fail WCAG even though the style was born as an accessibility fix.","Style; Depth and materiality","Medium"
"Y2K Revival","Chrome, gradient mesh, iridescence, pixel/dither texture — the 2025-26 wave is material-driven and systemic (chrome with weight and behavior), not the 2021 surface-level kitsch. Functions partly as an anti-AI-slop authenticity signal for Gen-Z audiences.","Use metallic/chrome effects and holographic highlights over silver base; hot pink and electric blue primaries, lime accents, violet depth; pixel/dither as deliberate texture; commit systemically (motion, texture, material logic), not as a pasted filter; fits gaming, fan communities, Gen-Z consumer brands.","Don't use as decoration without systemic commitment — reads shallow and dated; avoid for fintech, healthcare, government, luxury (breaks trust or restraint signals); time-boxed nostalgia cycle — re-verify currency before recommending as a durable identity.","Style; Raw and bold","Low"
"Editorial Maximalism","Density with structure: one expressive display typeface at large scale, dense layered grid, oversized headlines — typography/grid-led maximalism, distinct from ornament-led decoration. Market driver is minimalism fatigue.","Use ONE dominant bold display face at hero scale (not three competing fonts); keep the grid disciplined under the density; layer imagery and texture with intentional hierarchy; fits news/editorial, publishing, and brands differentiating from muted minimalist sameness.","Without a single dominant typeface and real grid discipline it collapses into visual noise; avoid for government, healthcare, and data-dense product UI; reactive/cyclical trend — moderate durability confidence.","Style; Typographic","Medium"
