Principle,Main Characteristics,Do's,Don'ts,Platform/Classification,Severity
Call to Action (CTA) Distinction,"The CTA is the most important actionable element, tied to the primary goal (sales/signups). It must capture immediate attention via visual weight.",Use a unique color or style that doesn't compete with other screen elements. Ensure enough contrast with the background. Use wording that calls to an action.,Do not use more than one instance of a primary CTA on one page to avoid dividing user attention. Do not use ghost buttons for main CTAs.,Universal,Critical
Hierarchy is Everything,Visual hierarchy directs the user to what matters most. De-emphasizing secondary information makes the interface less noisy.,Use font weight and color instead of just size to control hierarchy; de-emphasize tertiary content using light grey.,Don't let every element compete for attention; don't use font weights under 400 for small UI text.,General UI,Critical
Simple and Intuitive Use,"Use of the design is easy to understand, regardless of the user's experience, knowledge, language skills, or current concentration level.",Eliminate unnecessary complexity; be consistent with user expectations and intuition.,Not in source,Universal Design,Critical
Mental Models,Users have a pre-existing representation in their heads of how a product or system works based on past experience.,Do research to understand the mental models of your target audience. Design the conceptual model to match the mental model.,Don't let the conceptual model 'bubble up' from the technology/database structure.,General / Product Design,Critical
Equitable Use,The design is useful and marketable to people with diverse abilities.,Provide the same means of use for all users: identical whenever possible; equivalent when not.,Avoid segregating or stigmatizing any users.,Universal Design,Critical
Look and Feel for Trust,Users use visual design (look and feel) as the first indicator of whether to trust a site.,"Use professional layout, color, and font to pass the initial 'trust rejection' phase. Ensure content is credible for long-term trust.",Don't neglect first impressions; users will reject a site based on poor design before even reading the content.,Web Design / E-commerce,Critical
Synchronized Design and Engineering,Design modules in the master Sketch file must have an exact equivalent in the code.,Ensure names in the Sketch file and the code match exactly.,Let art direction and engineering get out of sync.,Cross-platform (Web and Native),Critical
Start with Needs,Research-driven design to ensure the right product is built for the user.,"Conduct research, analyze data, and talk to users before making design assumptions.",Make assumptions about user requirements without grounded data.,Universal,Critical
Early and Continuous Delivery,The highest priority is to satisfy the customer through early and continuous delivery of valuable software.,Release updates and new versions frequently to meet changing needs. Focus on high-value activities.,"Wait for long release cycles (e.g., 18-24 months) or until the end of a cycle to deliver functionality.",General Software / E-commerce,Critical
Regular Reflection,"The team reflects on how to become more effective, then tunes and adjusts behavior.",Conduct regular retrospectives to identify and learn from what is or isn't working.,Ignore team feedback or shut down conversation during review sessions.,Management / Process,Critical
Proper Product Data is Vital,Lack of data and data structure severely impedes the user's ability to find relevant products and their desire to purchase.,Develop several automated and manual data-structure verification processes to catch common product data issues.,Do not leave product specs unstructured (lumped together in a single column) or allow missing/redundant tags.,Desktop / General,Harmful
Which Attributes to Include in the List Item,"Without sufficient and relevant list item information, users are likely to discard perfectly relevant products.","Include price, thumbnail, title/type, variations, and user ratings plus 1-3 category-specific attributes.",Don't use a 'one size fits all' approach; tailor attributes to the vertical.,Desktop / General,Harmful
Diversity-Based 'Relevance' Default Sort,Users often reject categories if the first products don't represent the breadth of the scope.,Ensure the first 10-20 products reflect major product types within the category.,Don't use 'Price: Low to High' as the default sorting.,Desktop / Categories,Harmful
Always Have Compatibility Filters,"Users cannot find, narrow down, and verify compatibility-dependent products without specific compatibility filters.","Offer filters for the specific attribute that determines fit (e.g., laptop size, camera mount).",Don't rely on 'Brand' as the only compatibility filter.,Desktop / Technical Products,Harmful
Clearly Indicate Product Unavailability,Users are sent on product page detours when product unavailability isn't clearly indicated.,"Clearly mark items as 'sold out', 'pre-order', or 'unavailable for home delivery' in the list item.",Don't hide availability status until the product page is reached.,Desktop / General,Harmful
Feature Broad Range of Types on Homepage,First-time users rely on homepage visuals to infer the site's product catalog and breadth. Narrow selections lead to misinterpretation.,Ensure a broad selection of different product types are featured; use images or thumbnails; dedicate space to non-popular categories.,Only feature a small selection of product types; assume users will know the site sells other items.,Homepage,Harmful
Filters vs. Categories for Shared Attributes,"Wrongly implementing filters as categories prevents users from mixing criteria (e.g., 'mummy' + 'down' sleeping bag).",Use categories for mutually exclusive hierarchy scopes; use filters for attributes where multiple can be selected.,Implement product type as a category if attributes are the same across types; use brand-based categories.,Category Taxonomy,Harmful
Avoid Redundant and Overlapping Categories,Redundancy makes it difficult to know which option to select and makes the site look unprofessional.,Manually create the taxonomy; map manufacturer data to your own curated categories; check for combined categories.,Use auto-generated categorization; reuse manufacturer categories without merging across vendors.,Category Taxonomy,Harmful
Have Compatibility-Based Product List Pages,Users struggle to find and verify compatibility (e.g. laptop chargers). Completion rates are very low without explicit cross-linking.,Create unique pages for each compatibility product; include series-level pages; link these in cross-sell sections.,Assume users know their model's specific specs; force users to manually compare dimensions from different pages.,Category Taxonomy / Product Lists,Harmful
Avoid Relying Solely on Thematic Categories,Users expect a site to be structured by 'type of product.' Purely thematic navigation breaks mental models.,Use thematic paths as secondary options; ensure the core navigation is based on product types.,Replace product type categories with brand or occasion categories entirely.,Category Taxonomy / Main Navigation,Harmful
Main Nav Categories as First Hierarchy Level,"Hiding categories behind a singular ""Products"" link causes double-hover issues and prevents inferring site type at a glance.","Place top-level categories permanently in the main navigation bar; use non-product categories (e.g. ""Deals"") alongside them.","Scope the entire catalog within a solitary ""Products"" item; use double-hover activation areas with short heights.",Main Navigation,Harmful
Site-Wide Courtesy Navigation Separation,"Non-product links (Contact, Sign-in, Shipping) clutter the header but are vital for those who need them.",Use white space or background colors to separate courtesy links; group them into sections; include a 'Shipping' link.,Place courtesy navigation below primary product navigation; omit vital policy links from the header entirely.,Main Navigation / Site-Wide,Harmful
Have First 1-2 Levels as Sub-Category Pages,"Sub-category pages act as storefronts, clearing up ambiguity via thumbnails and descriptions before showing products.","Display sub-categories high on the page; include thumbnails; provide a ""View All"" option for each scope.",Display a product list for broad categories; push sub-category links below the fold with featured products.,Sub-Category Pages,Harmful
Avoid Dividing or Sub-Dividing Product Lists,Thematic divisions make lists hard to sort and can lead users to think they've reached the end of results prematurely.,Use product type filters instead of sectional dividers; show a single continuous list of products.,Divide lists into thematic sections on one page; use product sliders or tabs to sub-divide featured results.,Product Lists / Sub-Category Pages,Harmful
Standardized Specifications,"To minimize deviations, modules are specified precisely in master files.","Define typography treatments, use an 8-pixel grid for spacing, and document interactions precisely.",Allow inconsistent naming or deviations from the master Sketch file across platforms.,Mobile / Desktop / Native,High
Buttons should look like buttons,Familiarity with shapes associated with action improves recognition speed. Deviation increases identification time.,Use rectangles or rounded rectangles as the safest choice. Ensure buttons stand out from other elements.,"Do not use organic or irregular shapes (triangle, circle) unless the style requires it.",Universal,High
Minimum Interactive Element Size,Physical size affects the ease of tapping or clicking. Too small targets lead to frustration and errors.,"Start with 44 x 44 points for mobile (50 points ideal). For cursor-based devices, 32 x 32 points is acceptable.",Do not make buttons smaller than the recommended minimum.,Mobile & Desktop,High
Text to Background Contrast,"Contrast ratio determines readability and accessibility for users, including those with impaired vision.",Aim for at least AA contrast ratio between labels and backgrounds. Use saturation that works in light/dark modes.,Do not use low contrast ratios that make buttons look like decoration; avoid high contrast that causes eye strain.,Universal,High
One Number 1 Priority,Clarity of the primary message or action takes precedence over aesthetics.,Identify the single most important thing you want users to see and do first.,Fragment the user experience with conflicting messages or multiple equal-weight calls to action.,General UI,High
Make it Unbreakable,Designing for exploration and error prevention.,Design interactions so they are impossible to mis-tap; treat UI like a children's toy.,Create fragile interfaces where users can easily make irreversible errors.,Mobile / Touch Interfaces,High
"Be Timeless, Not Cutting Edge",Prioritizing long-term utility and accessibility over temporary design trends.,Adopt technology only when it serves a proven purpose for the majority of users.,Introduce stylistic features like parallax effects just for the sake of following a trend.,General UI,High
No Needless Parts,Every element must have a purpose contributing to the larger goal.,Remove any element if its purpose cannot be explicitly explained.,Add decorative elements that do not contribute to functionality or core brand message.,General UI,High
Consistent Call to Action (CTA) Logic,Distinguishing between navigation and data manipulation.,Use buttons for changing/manipulating data; use links for navigating between pages.,Use primary button styles for simple navigation tasks that don't involve state changes.,E-commerce / Web,High
Working Software as Progress,Working software is the primary measure of progress.,Evaluate progress by the incorporation of design into functional code; demonstrate user stories.,Judge progress solely by the number of design artifacts produced or documentation.,General Software / E-commerce,High
Technical Excellence and Good Design,Continuous attention to technical excellence and good design enhances agility.,Continually refine design decisions throughout the cycle.,Treat design as a one-time activity at the kickoff or milestone.,Design / Technical,High
Simplicity in Process,The art of maximizing the amount of work not done is essential. Focus on essential user needs.,Focus only on what is most necessary; seek the simplest way to write code.,Spend time on wireframes for implemented designs; squeeze in features without evaluating impact.,Process Optimization,High
Continuous Integration (CI/CD),Regularly integrating code to reveal problems quickly and ensure a working solution.,Rebuild and retest code several times a day; automate unit tests.,Wait for a traditional test cycle at the end of development.,General Software / E-commerce,High
