principle,characteristics,dos,donts,category,severity
Call to Action (CTA) Distinction,"The CTA is the most important actionable element, tied to the primary goal (sales/signups). It must capture immediate attention via visual weight.",Use a unique color or style that doesn't compete with other screen elements. Ensure enough contrast with the background. Use wording that calls to an action.,Do not use more than one instance of a primary CTA on one page to avoid dividing user attention. Do not use ghost buttons for main CTAs.,Homepage,Critical
Hierarchy is Everything,Visual hierarchy directs the user to what matters most. De-emphasizing secondary information makes the interface less noisy.,Use font weight and color instead of just size to control hierarchy; de-emphasize tertiary content using light grey.,Don't let every element compete for attention; don't use font weights under 400 for small UI text.,Navigation,Critical
Simple and Intuitive Use,"Use of the design is easy to understand, regardless of the user's experience, knowledge, language skills, or current concentration level.",Eliminate unnecessary complexity; be consistent with user expectations and intuition.,Not in source,Homepage,Critical
Mental Models,Users have a pre-existing representation in their heads of how a product or system works based on past experience.,Do research to understand the mental models of your target audience. Design the conceptual model to match the mental model.,Don't let the conceptual model 'bubble up' from the technology/database structure.,Navigation,Critical
Equitable Use,The design is useful and marketable to people with diverse abilities.,Provide the same means of use for all users: identical whenever possible; equivalent when not.,Avoid segregating or stigmatizing any users.,Homepage,Critical
Look and Feel for Trust,Users use visual design (look and feel) as the first indicator of whether to trust a site.,"Use professional layout, color, and font to pass the initial 'trust rejection' phase. Ensure content is credible for long-term trust.",Don't neglect first impressions; users will reject a site based on poor design before even reading the content.,Homepage,Critical
Synchronized Design and Engineering,Design modules in the master Sketch file must have an exact equivalent in the code.,Ensure names in the Sketch file and the code match exactly.,Let art direction and engineering get out of sync.,Homepage,Critical
Start with Needs,Research-driven design to ensure the right product is built for the user.,"Conduct research, analyze data, and talk to users before making design assumptions.",Make assumptions about user requirements without grounded data.,Homepage,Critical
Early and Continuous Delivery,The highest priority is to satisfy the customer through early and continuous delivery of valuable software.,Release updates and new versions frequently to meet changing needs. Focus on high-value activities.,"Wait for long release cycles (e.g., 18-24 months) or until the end of a cycle to deliver functionality.",Homepage,Critical
Regular Reflection,"The team reflects on how to become more effective, then tunes and adjusts behavior.",Conduct regular retrospectives to identify and learn from what is or isn't working.,Ignore team feedback or shut down conversation during review sessions.,Homepage,Critical
Buttons should look like buttons,Familiarity with shapes associated with action improves recognition speed. Deviation increases identification time.,Use rectangles or rounded rectangles as the safest choice. Ensure buttons stand out from other elements.,"Do not use organic or irregular shapes (triangle, circle) unless the style requires it.",Navigation,High
