principle,characteristics,dos,donts,category,severity
Call to Action (CTA) Distinction,"The CTA is the most important actionable element, tied to the primary goal (sales/signups). It must capture immediate attention via visual weight.",Use a unique color or style that doesn't compete with other screen elements; ensure enough contrast with the background; use wording that calls to an action; hide or de-emphasize secondary actions (e.g. tuck them into a menu) so the primary CTA has no visual competition.,Do not use more than one instance of a primary CTA on one page to avoid dividing user attention; do not use ghost buttons for main CTAs; don't size the CTA so small it's missed or so big it triggers banner blindness.,Homepage,Critical
Mental Models,Users have a pre-existing representation in their heads of how a product or system works based on past experience.,Do research to understand the mental models of your target audience. Design the conceptual model to match the mental model.,Don't let the conceptual model 'bubble up' from the technology/database structure.,Navigation,Critical
Look and Feel for Trust,Users use visual design (look and feel) as the first indicator of whether to trust a site.,"Use professional layout, color, and font to pass the initial 'trust rejection' phase. Ensure content is credible for long-term trust.",Don't neglect first impressions; users will reject a site based on poor design before even reading the content.,Trust,Critical
Synchronized Design and Engineering,"Design files and shipped code must stay in exact sync - component names, spacing, and states specified in the design file should have a one-to-one equivalent in code.",Ensure names in the design file (Figma or equivalent) and the code match exactly; define typography treatments and use a consistent spacing grid (e.g. an 8-pixel grid); document interactions precisely so engineering can build them without guessing.,Don't let art direction and engineering get out of sync; don't allow inconsistent naming or deviations from the master design file across platforms.,Homepage,Critical
Start with Needs,"Research-driven design ensures the right product gets built for the user, not just the one that's easiest to build.","Write the user problem down in one sentence before proposing any solution; conduct research, analyze usage data, and talk to real users or clients to validate that problem; structure the product so tasks can be completed quickly, using skeuomorphic or familiar cues for less tech-savvy audiences where helpful.",Don't make assumptions about user requirements without grounded data; don't move to implementation before the problem is validated; don't ignore the specific demographics of the target audience.,Homepage,Critical
Buttons should look like buttons,Familiarity with shapes associated with action improves recognition speed. Deviation increases identification time.,Use rectangles or rounded rectangles as the safest choice. Ensure buttons stand out from other elements.,"Do not use organic or irregular shapes (triangle, circle) unless the style requires it.",Navigation,High
Minimum Interactive Element Size,Physical size affects the ease of tapping or clicking; too-small targets lead to frustration and errors.,"Start with 44 x 44pt for mobile primary targets (50pt ideal; roughly 7mm x 7mm); for cursor-based devices, 32 x 32 points is acceptable; leave at least a 2mm (~8px) gap between adjacent touch targets.","Do not make buttons smaller than the recommended minimum; don't place touch targets too close together, leading to accidental presses.",Touch,High
Text to Background Contrast,"Contrast ratio determines readability and accessibility for users, including those with impaired vision.",Aim for at least AA contrast ratio between labels and backgrounds. Use saturation that works in light/dark modes.,Do not use low contrast ratios that make buttons look like decoration; avoid high contrast that causes eye strain.,Accessibility,High
Make it Unbreakable,Designing for exploration and error prevention so users never fear making a mistake.,Design interactions so they are impossible to mis-tap; treat the UI like a children's toy; use warnings and confirmations before destructive actions; provide sensible default values and easy undo instead of complex confirmations; make buttons large enough to tap easily.,"Don't create fragile interfaces where users can easily make irreversible errors; don't let users cruise through hazardous procedures on 'autopilot'; don't place destructive actions (Delete) next to frequent, positive actions.",Navigation,High
"Be Timeless, Not Cutting Edge",Prioritizing long-term utility and accessibility over temporary design trends.,Adopt technology only when it serves a proven purpose for the majority of users.,Introduce stylistic features like parallax effects just for the sake of following a trend.,Homepage,High
Consistent Call to Action (CTA) Logic,Distinguishing between navigation and data manipulation.,Use buttons for changing/manipulating data; use links for navigating between pages.,Use primary button styles for simple navigation tasks that don't involve state changes.,Navigation,High
