principle,characteristics,dos,donts,category,severity
Graceful Error Handling,Comforting screens that occur when things go wrong without destroying user data.,"Keep all user input safe; provide a clear path to resolution and use human, positive language.",Do not use 'Blue Screen of Death' style jargon; never delete user work due to a form error.,Forms,Critical
Thumb Zone Optimization,Placing primary controls within the natural sweeping arc of a user's thumb.,Place primary actions and navigation near the bottom of the screen for large mobile devices.,Avoid placing critical navigation (like 'Back' or 'Purchase') in the top-left 'Ow' zone.,Touch,Critical
Automated Exercise of Choice (Cheating),Eliminating work required of the user beyond giving consent.,Use intelligent defaults and automate repeated actions after initial informed consent.,Don't use behind-the-scenes trickery; always ensure user consent is obtained first.,Checkout,High
Reading and comprehending are different,"Readability is affected by existing knowledge, titles, and text structure.",Provide meaningful titles and headlines; use simple words and shorter syllables.,Assume people will remember specific information just because they read it.,Product Detail,High
Font size matters for readability,Text must be large enough to read without strain; x-height affects perceived size.,Use a large point size and a font with a large x-height for online viewing.,"Use small fonts that require users to squint, as this creates a negative mood.",Product Detail,High
Short-term memory is limited,Working memory is fragile and easily disrupted by sensory input.,Keep information in one place so users don't have to remember it across pages.,Ask users to do another task while holding information in working memory.,Checkout,High
People remember only four items at once,"The true limit of working memory is four items, not seven.",Chunk information into groups of no more than four items.,List more than four items in a single group without further categorization.,Forms,High
People are more motivated as they get closer to a goal,The goal-gradient effect states that behavior accelerates as the goal comes into sight.,"Show progress bars; provide an 'illusion of progress' (e.g., a 10-stamp card with 2 pre-filled).",Ignore the post-reward resetting phenomenon where motivation drops after a goal is met.,Checkout,High
Variable rewards are powerful,Unpredictable rewards (variable ratio) result in the highest rate of behavior repetition.,"Use unpredictable rewards for maximum engagement (e.g., slot machine mechanics).",Use fixed rewards if you want to maintain long-term information-seeking behavior.,Cart,High
People are inherently lazy,"Humans 'satisfice,' meaning they look for the good-enough solution rather than the optimal one.",Design for scanning; use white space and large fonts to make a task look 'easy'.,Provide too many options that require heavy analysis.,Search,High
Primary Call to Action (CTA) Distinction,The most important actionable element tied to sales must be visually unique.,Use a unique color or style; ensure high contrast against the background; use actionable wording.,Do not use more than one CTA on a single page as it divides user attention and lowers conversion; do not make it too small or so big it causes 'banner blindness'.,Checkout,High
Button Hierarchy and Layout,Placement of buttons should follow natural scanning patterns to facilitate the flow to checkout.,"Place buttons below descriptive elements; align them to the sides where users expect them; follow the F-pattern (top to bottom, left edge).","Do not place the strongest visual element in a position that requires the eyes to travel back and forth excessively, which slows processing.",Checkout,High
