"principle","characteristics","dos","donts","category","severity"
"Artisanal Heritage Food and Drink","Provenance and appetite appeal: buyers infer quality and authenticity from old-world cues before tasting. Strong evidence (packaging-design case studies converge). Covers pasta, olive oil, wine, bakery, craft preserves. Keywords: pasta, olive oil, wine, bakery, artisanal, heritage, food packaging.","Typography: transitional or old-style serif (Playfair, Freight class) or vintage display serif/script lockups. Palette: warm mid-saturation reds, greens, ochres, browns on kraft/cream base. Imagery: rustic accents (olive branches, vines), hand-drawn illustration, foil/emboss for handcrafted premium. Style fits: heritage revival, editorial-illustrative, rustic texture.","Avoid Corporate Memphis, glassmorphism, neon Y2K, and flat geometric minimalism — they read industrial and mass-produced, not handmade. Deliberate modern subversions (urban-edge blue/yellow) exist but must be a stated strategy, not a default.","Context; Food and drink","High"
"Fast-Casual Playful Food","Differentiation in a saturated category: color signals who the brand is for, not just appetite. Strong evidence on typography softening; purple-as-differentiator is emerging convention. Keywords: restaurant, fast food, snack brand, cafe, food delivery.","Typography: oversized rounded sans, bubbly or handwritten scripts, softened grotesques. Palette: high-saturation, non-cliche hues (a bold green or purple over fast-food red). Imagery: mascots for warmth, analogue textures (print grain, stone). Style fits: playful maximalism, character-led illustration.","Avoid cold corporate minimalism, luxury serif restraint, and dense editorial grids — they suppress the energy the category sells.","Context; Food and drink","Medium"
"Fintech Banking Insurance","Trust-critical and regulated: familiarity beats novelty. Blue-dominance is the strongest cross-source trust convention in the category. Neobanks deliberately diverge with personality color to signal challenger status. Keywords: fintech, bank, banking, insurance, finance, neobank, payments, trading.","Typography: clean geometric or humanist sans, screen-legible; serif sparingly for legacy-trust institutions. Palette: blue-anchored, 3-4 colors max; challengers may add one bold personality accent (hot pink, orange) as a stated strategy. Style fits: minimalism, flat functional, restrained glassmorphism for dashboards.","Avoid grunge, maximalism, Y2K chrome, and heavy illustration — they undermine the regulated-trust signal. Note the category's blue oversaturation: differentiate through typography and motion, not by abandoning trust cues.","Context; Finance","Critical"
"Developer Tools Technical B2B","Engineer audiences reward perceived technical competence over warmth; neutrality signals reliability. Strong evidence across SaaS typography analyses. Keywords: developer tools, saas, b2b software, api, devtools, technical platform, infrastructure.","Typography: geometric or grotesque sans (Inter, Geist, Sohne class) with monospace accents (IBM Plex Mono class) signaling built-by-engineers. Palette: cool neutral base, dark-mode-first, single saturated accent. Imagery: abstract geometric marks, code as visual texture. Style fits: minimalism, neubrutalism (technical honesty), monospace-led editorial.","Avoid claymorphism, script type, luxury serif, and playful maximalism — warmth cues read as consumer-grade to this audience.","Context; Tech","High"
"Luxury Fashion Premium Goods","Restraint and craftsmanship cues signal exclusivity; overt decoration reads mass-market. Strong evidence (Chanel/Dior/LV lineage). Keywords: luxury, fashion, premium, high-end, couture, jewelry, watches.","Typography: high-contrast Didone serif (Didot, Bodoni class) for prestige, or bespoke geometric sans (Futura class) for minimalist elegance. Palette: desaturated ivory, champagne, muted gold, black and white; generous negative space. Imagery: premium textures (marble, linen, brushed metal), bold photography against minimal type. Style fits: minimalism, restrained editorial.","Avoid claymorphism, Y2K maximalism, rounded playful sans, and saturated color systems — decoration dilutes the exclusivity signal.","Context; Luxury","High"
"Kids Family Education","Rounded forms and saturation read as safe and approachable and match children's developing letterform recognition. Strong typography evidence; palette ratio is convention. Keywords: kids, children, education, edtech, family, learning app, toys, school.","Typography: rounded sans with softened corners and large counters. Palette: bright high-saturation on a 60/30/10 ratio (light neutral base / dominant bright / accent); pastels for calming sub-contexts. Imagery: storytelling motifs (stars, rockets), simple friendly shapes. Style fits: playful, claymorphism (soft, tactile, safe-feeling), hand-drawn.","Avoid Didone luxury serif, brutalism, dense editorial grids, and technical monospace — they read adult and cold. Contrast and readability standards still apply fully to children's products.","Context; Kids and education","High"
"Healthcare Medical Pharma","Risk-reduction: patients infer competence and safety from clarity and familiar trust-color cues. Accessibility is often a regulatory requirement, not a choice. Keywords: healthcare, medical, clinic, pharma, patient portal, hospital, health app, telehealth.","Typography: accessible sans-serif dominant, functional first. Palette: blue-anchored with green (healing/calm), evidence-linked to calm in review literature. Imagery: restrained, clinical yet caring; skip cliche cross/caduceus icons. Style fits: minimalism, flat functional, restrained glassmorphism.","Avoid Y2K, grunge, maximalism, and script type — they undermine authority. Never trade WCAG compliance for brand expression in this category.","Context; Health","Critical"
"Wellness Beauty Self-Care","Category oversaturated with quiet-luxury minimalism; 2026 differentiation comes from warmth, personality, and optimism. Directional trend — re-verify within 12-18 months. Keywords: wellness, beauty, skincare, self-care, spa, cosmetics, fitness, meditation.","Typography: personality-carrying type; imperfect hand-drawn marks as authenticity; rounded forms for soft registers. Palette: organic greens (slow-living signal), coastal blues and sandy creams, or cafe-toned neutrals. Imagery: matte tactile textures, doodles as authenticity markers. Style fits: organic hand-drawn, emerging editorial maximalism, claymorphism for self-care apps.","Avoid aggressive angular esports styling, dense B2B monospace, and strict institutional grids. Don't default to dark mode for wellness/beauty (existing suite rule).","Context; Wellness","Low"
"Gaming Esports Fan Communities","Tribal identity plus adrenaline: visual aggression signals competitive intensity and in-group belonging (team colors as fandom markers). Strong evidence from esports branding practice. Covers team fan pages (e.g. paintball squads). Keywords: gaming, esports, fan page, team, clan, paintball, sports fandom, streamer, tournament.","Typography: sharp angular condensed sans (Rajdhani, Teko class), motion-slanted lettering for speed. Palette: high-saturation, high-contrast on dark ground — fiery reds, electric blues, neon accents. Imagery: tribal/team iconography, energy cues. Style fits: neubrutalism, Y2K neon maximalism, aggressive geometric systems.","Avoid luxury Didone serif, pastel claymorphism, muted eco palettes, and institutional restraint — they read as outsiders' design. Keep overlay legibility: angular display type still needs contrast at small sizes.","Context; Gaming and fandom","High"
"Sustainability Eco Outdoors","Muted and desaturated reads authentic; oversaturation reads artificial and undermines the sustainability claim. Strong cross-source convergence. Keywords: sustainability, eco, green, outdoors, climate, organic, recycled, hiking.","Typography: clean sans dominant, occasional organic custom display. Palette: muted earth tones (terracotta, olive, ochre, sand). Imagery: nature-drawn textures, minimalist layout, lightweight low-carbon digital assets. Style fits: minimalism, organic hand-drawn, earthy editorial.","Avoid Y2K chrome/neon, corporate glassmorphism, and pastel claymorphism — synthetic finishes undercut the natural claim. Don't greenwash with leaf cliches over unsubstantiated claims.","Context; Sustainability","High"
