principle,characteristics,dos,donts,category,severity
Dieter Rams: Innovative,Good design must push technical boundaries and provide new solutions.,"Prototype with new technology or APIs before committing to it; ship the new approach only once it demonstrably improves the task, not just the pitch; always seek new possibilities for expression.",Repeat existing forms without providing new utility; don't chase innovation as marketing rather than user benefit; don't treat innovation as an end in itself.,Framework; Rams,Critical
Dieter Rams: Useful,"The primary purpose of a product is its utility (functional, psychological, and aesthetic).",Prioritize functional criteria and user utility; ensure design makes a product understandable and useful.,Ignore psychological or aesthetic utility; don't include features that do not serve the primary function.,Framework; Rams,Critical
Dieter Rams: Understandable,Design clarifies the product's structure and makes it self-explanatory.,Make the product's function speak to the user; clarify the product's structure.,Rely on complex manuals for basic use; require high cognitive load for simple interactions.,Framework; Rams,Critical
Dieter Rams: Honest,"Does not make a product look more innovative, powerful, or valuable than it really is.",Be transparent and truthful about product capabilities and performance.,Manipulate the consumer with unfulfillable promises or false representations.,Framework; Rams,Critical
Dieter Rams: Minimal,"Back to purity, back to simplicity; ""Less, but better."" Time and effort spent should be short, simple, and fast.","Concentrate on essential aspects only; strive for purity; remove any element whose purpose you can't state in one sentence; keep interactions short, simple, and fast with clear signposting.",Burden the product with non-essentials or unnecessary complexity; don't add needless decorative parts or friction just because they seem harmless.,Framework; Rams,Critical
Dieter Rams: Aesthetic,The aesthetic quality of a product is integral to its utility and well-being.,"Create well-executed, beautiful, and harmonious objects.",Assume beauty is secondary to function; treat design as just visual style without purpose.,Framework; Rams,High
Dieter Rams: Durable,Avoids being fashionable and therefore never appears antiquated.,Design for longevity in both build and style; use high-quality materials.,Follow short-lived design trends or fads that lead to throwaway culture.,Framework; Rams,High
Dieter Rams: Detailed,Nothing must be arbitrary or left to chance; thoroughness and accuracy.,Ensure every detail is functional and precise; show care in the design process.,Leave loose ends or allow sloppy finishes in the final output.,Framework; Rams,High
Dieter Rams: Eco-friendly,Design contributes to the preservation of the environment.,Minimize resource use and pollution throughout the product lifecycle.,Use materials that cannot be recycled or are toxic; design for a throwaway society.,Framework; Rams,High
Dieter Rams: Unobtrusive,"Products are tools, not decorative objects; design should be neutral and restrained.",Keep design discreet; leave room for user self-expression.,Over-design products to look like works of art; overwhelm users with loud elements.,Framework; Rams,Medium
Universal Design: Equitable Use,The design is useful and marketable to people with diverse abilities.,Provide the same means of use for all users; make it appealing.,Segregate or stigmatize any users.,Framework; Universal design,Critical
Universal Design: Simple and Intuitive Use,"Easy to understand regardless of user experience, knowledge, or language skills.",Eliminate unnecessary complexity; be consistent with user expectations.,Require high literacy or high cognitive load for basic navigation.,Framework; Universal design,Critical
